seqnames,start,end,width,strand,xHits,transcriptsHits,scoreSum,scoreMean,scoreMax,geneType,geneName,geneID,region,mir_IP,n_mir181,n_mir181a,n_mir181b,n_mir181c,n_mir181d,set,mir181BS_ID,WT,KO,geneID.2,geneName.1,region.1,counts.bs.1_KO,counts.bs.2_KO,counts.bs.3_KO,counts.bs.4_WT,counts.bs.5_WT,counts.bs.6_WT,geneID.1,counts.bg.1_KO,counts.bg.2_KO,counts.bg.3_KO,counts.bg.4_WT,counts.bg.5_WT,counts.bg.6_WT,resBs.baseMean,resBs.log2FoldChange,resBs.lfcSE,resBs.stat,resBs.pvalue,resBs.padj,resBg.baseMean,resBg.log2FoldChange,resBg.lfcSE,resBg.stat,resBg.pvalue,resBg.padj,tpm.counts.bg.1_KO,tpm.counts.bg.2_KO,tpm.counts.bg.3_KO,tpm.counts.bg.4_WT,tpm.counts.bg.5_WT,tpm.counts.bg.6_WT,BS_ID,tpm_support_KO,tpm_support_WT,tpm_supported,width_tx,transcript_type,transcript_support_level,transcript_id,all_seeds_200down,first_seed_200down.start,first_seed_200down.end,first_seed_200down.width,first_seed_200down.type,first_seed_200down.wobble,seed_repetitions.200down,seed_repetitions.200down.wobble
ENSMUST00000047978,1386,1392,7,*,3295,2747,34.91325,11.63775,18.0016,mature protein_coding RNA,Rabif,ENSMUSG00000042229,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14127,protein_coding,1,ENSMUST00000047978,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000075164,7698,7704,7,*,3296,2827,1.445904,0.722952,0.760243,mature protein_coding RNA,Kif21b,ENSMUSG00000041642,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7202,0,1,ENSMUSG00000041642,Kif21b,utr3,8,12,5,12,16,6,ENSMUSG00000041642,3269,4163,1989,4745,4543,2296,181.1672238931901,0.07105808590083187,0.41137177719336004,0.029790568174533405,0.8629662887223283,0.9682702869733278,NA,NA,NA,NA,NA,NA,327.57173331499973,300.1829241130916,249.14671714538457,303.31762968815303,359.1504553829474,334.84247357508474,ENSMUSG00000041642.bs18,3,3,TRUE,46610,protein_coding,2,ENSMUST00000075164,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000201676,4550,4556,7,*,3297,2841,42.56144,8.512288,17.2536,mature protein_coding RNA,Kif14,ENSMUSG00000041498,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59712,NA,5,ENSMUST00000201676,,20,27,8,seed_8mer,TRUE,0,1
ENSMUST00000047734,2979,2985,7,*,3298,2851,4.851,2.4255,3.29583,mature protein_coding RNA,Zfp281,ENSMUSG00000041483,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7204,1,1,ENSMUSG00000041483,Zfp281,utr3,18,17,15,26,19,10,ENSMUSG00000041483,1031,1266,770,1301,1159,623,154.03380134115625,0.06900599788516179,0.2980331816710217,0.05354100710198395,0.8170123787660183,0.9548257105816824,NA,NA,NA,NA,NA,NA,254.96286260847933,225.28902821725674,238.03338590203498,205.2416495112053,226.12255484386915,224.22470822945706,ENSMUSG00000041483.bs9,3,3,TRUE,5153,protein_coding,1,ENSMUST00000047734,,121,126,6,seed_6mer,TRUE,0,1
ENSMUST00000039867,6417,6423,7,*,3299,2898,1.574981,0.7874905,0.793254,mature protein_coding RNA,Zbtb41,ENSMUSG00000033964,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30624,protein_coding,1,ENSMUST00000039867,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000124484,478,484,7,*,3300,2988,8.908719999999999,2.9695733333333334,3.13731,mature protein_coding RNA,Tpr,ENSMUSG00000006005,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4010,protein_coding,3,ENSMUST00000124484,,15,21,7,seed_7mer_m8,TRUE,0,1
ENSMUST00000186745,2507,2513,7,*,3301,3007,12.107171,3.02679275,6.42955,mature protein_coding RNA,Ivns1abp,ENSMUSG00000023150,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18788,NA,1,ENSMUST00000186745,,18,23,6,seed_6mer,FALSE,1,0
ENSMUST00000077755,1687,1693,7,*,3302,3033,51.82327,17.27442333333333,24.4977,mature protein_coding RNA,Arpc5,ENSMUSG00000008475,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9056,protein_coding,1,ENSMUST00000077755,,20,26,7,seed_7mer_m8,FALSE,1,0
ENSMUST00000086199,2658,2664,7,*,3303,3077,7.57151,3.785755,5.88766,mature protein_coding RNA,Glul,ENSMUSG00000026473,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9780,protein_coding,1,ENSMUST00000086199,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000027743,1015,1021,7,*,3304,3087,1.82602,0.91301,1.57871,mature protein_coding RNA,Stx6,ENSMUSG00000026470,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46945,protein_coding,1,ENSMUST00000027743,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000027743,2122,2128,7,*,3305,3087,16.20177,5.400589999999999,8.88975,mature protein_coding RNA,Stx6,ENSMUSG00000026470,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7219,1,1,ENSMUSG00000026470,Stx6,utr3,12,27,9,35,36,15,ENSMUSG00000026470,1807,2526,1509,2744,2338,1416,211.20825302130115,-0.47781914616602533,0.2797195906718045,2.9831113631159667,0.08413738882306918,0.4367533008124298,NA,NA,NA,NA,NA,NA,207.405553937316,208.63331093777518,216.51119490205164,200.91681031725918,211.71368069111145,236.53893779908773,ENSMUSG00000026470.bs12,3,3,TRUE,46945,protein_coding,1,ENSMUST00000027743,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000065648,1464,1470,7,*,3306,3119,11.28121,5.640605,6.46247,mature protein_coding RNA,Tor1aip2,ENSMUSG00000050565,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12820,protein_coding,1,ENSMUST00000065648,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000060404,2172,2178,7,*,3307,3118,2.044139,0.6813796666666667,0.827854,mature protein_coding RNA,Tor1aip2,ENSMUSG00000050565,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7223,1,1,ENSMUSG00000050565,Tor1aip2,utr3,17,22,12,18,20,14,ENSMUSG00000050565,1440,2041,1048,2186,1997,1070,174.55411452524007,0.39805462981970263,0.30216524145864787,1.7276479918468226,0.1887115496362214,0.6107319524444323,NA,NA,NA,NA,NA,NA,190.7248037971095,194.525152368781,173.51413325366622,184.69910070262307,208.6723639673898,206.25553978343154,ENSMUSG00000050565.bs10,3,3,TRUE,27972,protein_coding,1,ENSMUST00000060404,,182,188,7,seed_7mer_m8,TRUE,0,1
ENSMUST00000060404,2633,2639,7,*,3308,3118,32.00756,16.00378,22.8976,mature protein_coding RNA,Tor1aip2,ENSMUSG00000050565,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27972,protein_coding,1,ENSMUST00000060404,,NA,NA,NA,NA,NA,NA,NA
